Method,V2_Cov,V2_Size,R_Cov,R_Size,A_Cov,A_Size
SplitCP,0.814,2.55,0.509,3.6,0.032,3.5
EaCP,0.912,9.3,0.802,17.43,0.314,18.99
EaCP+Gini(raw),0.793,2.23,0.618,2.77,0.037,3.23
EaCP+Top2(raw),0.799,2.38,0.615,2.93,0.047,3.44
EaCP+Gini_norm,0.883,5.91,0.767,11.92,0.225,13.5
EaCP+Top2_norm,0.903,8.05,0.789,15.57,0.318,19.76
EaCP+AdaptBeta,0.918,10.24,0.803,17.69,0.293,19.31
EaCP+Online,0.91,8.86,0.8,16.89,0.305,18.69
EaCP+Sliding,0.915,9.37,0.804,16.99,0.318,19.57
EaCP+Top2n+AdaptB,0.909,8.98,0.806,18.22,0.348,22.5
EaCP+AdaptScale,0.919,10.92,0.824,21.36,0.334,21.32
Tent+ECP,0.917,9.53,0.771,18.28,0.344,20.72
Tent+AdaptBeta,0.916,10.46,0.777,18.74,0.353,20.94
