Method,contrast_Cov,contrast_Size,brightness_Cov,brightness_Size,gaussian_noise_Cov,gaussian_noise_Size,motion_blur_Cov,motion_blur_Size
SplitCP,0.553,2.8,0.852,2.52,0.441,3.31,0.561,3.28
EaCP,0.918,11.89,0.935,6.19,0.907,22.65,0.917,14.77
EaCP+Gini(raw),0.789,2.24,0.849,1.91,0.724,2.58,0.769,2.41
EaCP+Top2(raw),0.798,2.38,0.859,2.07,0.73,2.68,0.776,2.54
EaCP+Gini_norm,0.892,7.62,0.912,4.01,0.876,14.17,0.887,9.21
EaCP+Top2_norm,0.91,10.06,0.93,5.51,0.893,17.89,0.906,12.11
EaCP+AdaptBeta,0.923,12.93,0.938,6.59,0.913,24.7,0.922,15.95
EaCP+Online,0.92,11.93,0.937,6.15,0.909,22.3,0.919,14.62
EaCP+Sliding,0.921,12.07,0.937,6.19,0.909,22.51,0.918,14.93
EaCP+Top2n+AdaptB,0.916,11.65,0.934,6.1,0.903,21.39,0.915,14.23
EaCP+AdaptScale,0.93,16.89,0.938,6.83,0.931,39.01,0.932,21.51
Tent+ECP,0.876,12.93,0.943,6.87,0.896,25.47,0.914,17.93
Tent+AdaptBeta,0.883,13.82,0.944,7.27,0.9,27.2,0.918,19.1
