Method,Corruption,Severity,Coverage,SetSize
SplitCP,contrast,1,0.838,2.68
SplitCP,contrast,2,0.786,2.82
SplitCP,contrast,3,0.678,3.28
SplitCP,contrast,4,0.366,3.27
SplitCP,contrast,5,0.1,1.94
SplitCP,brightness,1,0.889,2.2
SplitCP,brightness,2,0.883,2.4
SplitCP,brightness,3,0.866,2.49
SplitCP,brightness,4,0.834,2.62
SplitCP,brightness,5,0.79,2.9
SplitCP,gaussian_noise,1,0.792,2.9
SplitCP,gaussian_noise,2,0.673,3.16
SplitCP,gaussian_noise,3,0.462,3.63
SplitCP,gaussian_noise,4,0.223,3.61
SplitCP,gaussian_noise,5,0.056,3.24
SplitCP,motion_blur,1,0.833,2.7
SplitCP,motion_blur,2,0.745,3.07
SplitCP,motion_blur,3,0.573,3.33
SplitCP,motion_blur,4,0.378,3.65
SplitCP,motion_blur,5,0.274,3.65
EaCP,contrast,1,0.936,5.8
EaCP,contrast,2,0.934,6.3
EaCP,contrast,3,0.932,7.94
EaCP,contrast,4,0.921,13.12
EaCP,contrast,5,0.869,26.27
EaCP,brightness,1,0.934,4.62
EaCP,brightness,2,0.938,5.39
EaCP,brightness,3,0.936,5.94
EaCP,brightness,4,0.936,6.77
EaCP,brightness,5,0.933,8.25
EaCP,gaussian_noise,1,0.936,8.26
EaCP,gaussian_noise,2,0.928,10.95
EaCP,gaussian_noise,3,0.918,17.27
EaCP,gaussian_noise,4,0.901,28.31
EaCP,gaussian_noise,5,0.851,48.46
EaCP,motion_blur,1,0.935,6.68
EaCP,motion_blur,2,0.931,8.88
EaCP,motion_blur,3,0.921,12.66
EaCP,motion_blur,4,0.908,19.77
EaCP,motion_blur,5,0.892,25.86
EaCP+Gini(raw),contrast,1,0.853,1.89
EaCP+Gini(raw),contrast,2,0.842,1.91
EaCP+Gini(raw),contrast,3,0.831,2.09
EaCP+Gini(raw),contrast,4,0.78,2.4
EaCP+Gini(raw),contrast,5,0.638,2.91
EaCP+Gini(raw),brightness,1,0.86,1.73
EaCP+Gini(raw),brightness,2,0.862,1.86
EaCP+Gini(raw),brightness,3,0.854,1.91
EaCP+Gini(raw),brightness,4,0.841,1.97
EaCP+Gini(raw),brightness,5,0.83,2.1
EaCP+Gini(raw),gaussian_noise,1,0.836,2.13
EaCP+Gini(raw),gaussian_noise,2,0.804,2.22
EaCP+Gini(raw),gaussian_noise,3,0.754,2.54
EaCP+Gini(raw),gaussian_noise,4,0.683,2.89
EaCP+Gini(raw),gaussian_noise,5,0.541,3.11
EaCP+Gini(raw),motion_blur,1,0.846,1.97
EaCP+Gini(raw),motion_blur,2,0.825,2.15
EaCP+Gini(raw),motion_blur,3,0.78,2.35
EaCP+Gini(raw),motion_blur,4,0.723,2.71
EaCP+Gini(raw),motion_blur,5,0.673,2.88
EaCP+Top2(raw),contrast,1,0.864,2.05
EaCP+Top2(raw),contrast,2,0.853,2.06
EaCP+Top2(raw),contrast,3,0.841,2.23
EaCP+Top2(raw),contrast,4,0.786,2.54
EaCP+Top2(raw),contrast,5,0.644,3.03
EaCP+Top2(raw),brightness,1,0.872,1.9
EaCP+Top2(raw),brightness,2,0.871,2.03
EaCP+Top2(raw),brightness,3,0.863,2.07
EaCP+Top2(raw),brightness,4,0.851,2.11
EaCP+Top2(raw),brightness,5,0.838,2.25
EaCP+Top2(raw),gaussian_noise,1,0.845,2.28
EaCP+Top2(raw),gaussian_noise,2,0.809,2.35
EaCP+Top2(raw),gaussian_noise,3,0.762,2.65
EaCP+Top2(raw),gaussian_noise,4,0.689,2.97
EaCP+Top2(raw),gaussian_noise,5,0.546,3.14
EaCP+Top2(raw),motion_blur,1,0.855,2.12
EaCP+Top2(raw),motion_blur,2,0.833,2.31
EaCP+Top2(raw),motion_blur,3,0.789,2.48
EaCP+Top2(raw),motion_blur,4,0.729,2.81
EaCP+Top2(raw),motion_blur,5,0.676,2.97
EaCP+Gini_norm,contrast,1,0.913,3.84
EaCP+Gini_norm,contrast,2,0.909,4.07
EaCP+Gini_norm,contrast,3,0.907,5.1
EaCP+Gini_norm,contrast,4,0.891,8.12
EaCP+Gini_norm,contrast,5,0.839,16.99
EaCP+Gini_norm,brightness,1,0.914,3.15
